x y
1506.454195731589 705.708684942385
1000.8893667570997 1193.2402525290731
1480.2319959616286 693.6878796951139
514.6383880769977 806.1204499540744
1411.2942711326707 1104.7971193398266
1407.5072466646643 1103.2960810079285
1006.8174617519524 1199.9284744948586
994.5912447962843 1198.1447960144494
997.4395684205401 1196.8394518363555
307.3861312973623 492.1688913223544
192.2681030539463 194.22863479767054
1500.0981702701204 699.7228443295179
306.14154664450325 500.69921650206504
1511.900741023923 695.687395160372
1008.4192952954753 1191.5784916357932
1397.5281467347456 1109.7043250776344
515.6638454103677 800.8939606977184
306.69737247227937 498.5777518932068
1510.0201995623554 704.8693101013512
1499.3028906502996 671.1529771861167
289.8978058976139 503.25001476451655
205.21523074679425 184.18075678548504
1423.5386838365953 1100.814706139384
305.4275832154444 484.09640814840066
492.15459861719523 810.1644831953583
183.09479323228206 217.5570833383897
300.04887107927834 493.75477195859537
315.6261207040354 503.8520566596324
501.2959980482744 797.0089069520465
292.3819493877724 493.2032463808506
1005.3685959524759 1176.4309571518522
192.54115691674406 204.8659136112661
194.64969148624198 204.2803535708928
508.34556288865895 798.8209339600194
999.3686028891535 1203.9248377355063
502.7352234905397 794.4555838101203
293.50067234339855 488.2356211272834
1507.9179060191104 691.0949717029235
203.82586938499304 200.40836784959146
1503.682481846448 705.427857368531
996.0452216674609 1202.0745530743975
1003.6083177762209 1208.2293582592667
1507.4266305557462 701.9709241540878
495.6205447890008 797.3455388513969
198.3375117549331 209.12001095946576
501.89500101087225 798.2673096212185
1500.3936156516957 689.5192722992117
313.52861585547066 504.7646048914634
1385.305091137909 1099.873871167298
1398.9794876611368 1103.1323459971945
1385.7197550261599 1080.1266943349483
201.47919421705947 195.8985736582019
513.7690574476711 810.0572987107128
998.7690492132258 1217.1942175244944
491.8662505904931 772.6902758354772
1417.8935173048726 1114.214415037235
1402.4599768542382 1100.9103592948688
198.20900418314702 203.0144607601241
1394.64945711726 1111.0377272140663
204.10298160925743 191.35642971780806
